County,FileNumber,Measure Names,ProviderName,Measure Values
BREVARD,23960034,Available Capacity,MELBOURNE REGIONAL MEDICAL CENTER,0.666666667
BREVARD,23960034,Total Staffed Bed Capacity,MELBOURNE REGIONAL MEDICAL CENTER,105
BREVARD,23960090,Bed Census,KINDRED HOSPITAL MELBOURNE,45
BREVARD,23960090,Available,KINDRED HOSPITAL MELBOURNE,15
BREVARD,23960090,Available Capacity,KINDRED HOSPITAL MELBOURNE,0.25
BREVARD,23960090,Total Staffed Bed Capacity,KINDRED HOSPITAL MELBOURNE,60
BREVARD,23960092,Bed Census,VIERA HOSPITAL,59
BREVARD,23960092,Available,VIERA HOSPITAL,25
BREVARD,23960092,Available Capacity,VIERA HOSPITAL,0.297619048
BREVARD,23960092,Total Staffed Bed Capacity,VIERA HOSPITAL,84
BREVARD,23960153,Bed Census,PALM POINT BEHAVIORAL HEALTH,26
BREVARD,23960153,Available,PALM POINT BEHAVIORAL HEALTH,18
BREVARD,23960153,Available Capacity,PALM POINT BEHAVIORAL HEALTH,0.409090909
BREVARD,23960153,Total Staffed Bed Capacity,PALM POINT BEHAVIORAL HEALTH,44
BROWARD,100038,Bed Census,MEMORIAL REGIONAL HOSPITAL,562
BROWARD,100038,Available,MEMORIAL REGIONAL HOSPITAL,221
BROWARD,100038,Available Capacity,MEMORIAL REGIONAL HOSPITAL,0.282247765
BROWARD,100038,Total Staffed Bed Capacity,MEMORIAL REGIONAL HOSPITAL,783
BROWARD,100039,Bed Census,BROWARD HEALTH MEDICAL CENTER,372
BROWARD,100039,Available,BROWARD HEALTH MEDICAL CENTER,44
BROWARD,100039,Available Capacity,BROWARD HEALTH MEDICAL CENTER,0.105769231
BROWARD,100039,Total Staffed Bed Capacity,BROWARD HEALTH MEDICAL CENTER,416
BROWARD,100042,Bed Census,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,80
BROWARD,100042,Available,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,39
BROWARD,100042,Available Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,0.327731092
BROWARD,100042,Total Staffed Bed Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,119
BROWARD,100056,Bed Census,CLEVELAND CLINIC HOSPITAL,208
BROWARD,100056,Available,CLEVELAND CLINIC HOSPITAL,22
BROWARD,100056,Available Capacity,CLEVELAND CLINIC HOSPITAL,0.095652174
BROWARD,100056,Total Staffed Bed Capacity,CLEVELAND CLINIC HOSPITAL,230
BROWARD,100073,Bed Census,HOLY CROSS HOSPITAL,183
BROWARD,100073,Available,HOLY CROSS HOSPITAL,165
BROWARD,100073,Available Capacity,HOLY CROSS HOSPITAL,0.474137931
BROWARD,100073,Total Staffed Bed Capacity,HOLY CROSS HOSPITAL,348
BROWARD,100086,Bed Census,BROWARD HEALTH NORTH,269
BROWARD,100086,Available,BROWARD HEALTH NORTH,0
BROWARD,100086,Available Capacity,BROWARD HEALTH NORTH,0
BROWARD,100086,Total Staffed Bed Capacity,BROWARD HEALTH NORTH,269
BROWARD,100120,Bed Census,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,51
BROWARD,100120,Available,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,13
BROWARD,100120,Available Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,0.203125
BROWARD,100120,Total Staffed Bed Capacity,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,64
BROWARD,100167,Bed Census,PLANTATION GENERAL HOSPITAL,125
BROWARD,100167,Available,PLANTATION GENERAL HOSPITAL,115
BROWARD,100167,Available Capacity,PLANTATION GENERAL HOSPITAL,0.479166667
BROWARD,100167,Total Staffed Bed Capacity,PLANTATION GENERAL HOSPITAL,240
BROWARD,100189,Bed Census,NORTHWEST MEDICAL CENTER,215
BROWARD,100189,Available,NORTHWEST MEDICAL CENTER,75
BROWARD,100189,Available Capacity,NORTHWEST MEDICAL CENTER,0.258620690
BROWARD,100189,Total Staffed Bed Capacity,NORTHWEST MEDICAL CENTER,290
BROWARD,100200,Bed Census,BROWARD HEALTH IMPERIAL POINT,116
BROWARD,100200,Available,BROWARD HEALTH IMPERIAL POINT,7
BROWARD,100200,Available Capacity,BROWARD HEALTH IMPERIAL POINT,0.056910569
BROWARD,100200,Total Staffed Bed Capacity,BROWARD HEALTH IMPERIAL POINT,123
BROWARD,100210,Bed Census,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,192
BROWARD,100210,Available,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,12
BROWARD,100210,Available Capacity,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,0.058823529
BROWARD,100210,Total Staffed Bed Capacity,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,204
BROWARD,100224,Bed Census,UNIVERSITY HOSPITAL AND MEDICAL CENTER,144
BROWARD,100224,Available,UNIVERSITY HOSPITAL AND MEDICAL CENTER,173
BROWARD,100224,Available Capacity,UNIVERSITY HOSPITAL AND MEDICAL CENTER,0.545741325
BROWARD,100224,Total Staffed Bed Capacity,UNIVERSITY HOSPITAL AND MEDICAL CENTER,317
BROWARD,100225,Bed Census,MEMORIAL REGIONAL HOSPITAL SOUTH,108
BROWARD,100225,Available,MEMORIAL REGIONAL HOSPITAL SOUTH,23
BROWARD,100225,Available Capacity,MEMORIAL REGIONAL HOSPITAL SOUTH,0.175572519
BROWARD,100225,Total Staffed Bed Capacity,MEMORIAL REGIONAL HOSPITAL SOUTH,131
BROWARD,100228,Bed Census,WESTSIDE REGIONAL MEDICAL CENTER,215
BROWARD,100228,Available,WESTSIDE REGIONAL MEDICAL CENTER,35
BROWARD,100228,Available Capacity,WESTSIDE REGIONAL MEDICAL CENTER,0.14
BROWARD,100228,Total Staffed Bed Capacity,WESTSIDE REGIONAL MEDICAL CENTER,250
BROWARD,100230,Bed Census,MEMORIAL HOSPITAL PEMBROKE,152
BROWARD,100230,Available,MEMORIAL HOSPITAL PEMBROKE,11
BROWARD,100230,Available Capacity,MEMORIAL HOSPITAL PEMBROKE,0.067484663
BROWARD,100230,Total Staffed Bed Capacity,MEMORIAL HOSPITAL PEMBROKE,163
BROWARD,103027,Bed Census,ST ANTHONY'S REHABILITATION HOSPITAL,13
BROWARD,103027,Available,ST ANTHONY'S REHABILITATION HOSPITAL,13
BROWARD,103027,Available Capacity,ST ANTHONY'S REHABILITATION HOSPITAL,0.5
BROWARD,103027,Total Staffed Bed Capacity,ST ANTHONY'S REHABILITATION HOSPITAL,26
BROWARD,103028,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,95
BROWARD,103028,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,15
BROWARD,103028,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,0.136363636
BROWARD,103028,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,110
BROWARD,104001,Bed Census,SOUTH FLORIDA STATE HOSPITAL,306
BROWARD,104001,Available,SOUTH FLORIDA STATE HOSPITAL,0
BROWARD,104001,Available Capacity,SOUTH FLORIDA STATE HOSPITAL,0
BROWARD,104001,Total Staffed Bed Capacity,SOUTH FLORIDA STATE HOSPITAL,306
BROWARD,104015,Bed Census,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,42
BROWARD,104015,Available,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,8
BROWARD,104015,Available Capacity,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,0.16
BROWARD,104015,Total Staffed Bed Capacity,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,50
BROWARD,104026,Bed Census,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,92
BROWARD,104026,Available,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0
BROWARD,104026,Available Capacity,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0
BROWARD,104026,Total Staffed Bed Capacity,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,92
BROWARD,110019,Bed Census,BROWARD HEALTH CORAL SPRINGS,161
BROWARD,110019,Available,BROWARD HEALTH CORAL SPRINGS,16
BROWARD,110019,Available Capacity,BROWARD HEALTH CORAL SPRINGS,0.090395480
BROWARD,110019,Total Staffed Bed Capacity,BROWARD HEALTH CORAL SPRINGS,177
BROWARD,111527,Bed Census,MEMORIAL HOSPITAL WEST,411
BROWARD,111527,Available,MEMORIAL HOSPITAL WEST,48
BROWARD,111527,Available Capacity,MEMORIAL HOSPITAL WEST,0.104575163
BROWARD,111527,Total Staffed Bed Capacity,MEMORIAL HOSPITAL WEST,459
BROWARD,23960050,Bed Census,MEMORIAL HOSPITAL MIRAMAR,112
BROWARD,23960050,Available,MEMORIAL HOSPITAL MIRAMAR,66
BROWARD,23960050,Available Capacity,MEMORIAL HOSPITAL MIRAMAR,0.370786517
BROWARD,23960050,Total Staffed Bed Capacity,MEMORIAL HOSPITAL MIRAMAR,178
CALHOUN,100112,Bed Census,CALHOUN-LIBERTY HOSPITAL,4
CALHOUN,100112,Available,CALHOUN-LIBERTY HOSPITAL,6
CALHOUN,100112,Available Capacity,CALHOUN-LIBERTY HOSPITAL,0.6
CALHOUN,100112,Total Staffed Bed Capacity,CALHOUN-LIBERTY HOSPITAL,10
CHARLOTTE,100047,Bed Census,BAYFRONT HEALTH PUNTA GORDA,109
CHARLOTTE,100047,Available,BAYFRONT HEALTH PUNTA GORDA,19
CHARLOTTE,100047,Available Capacity,BAYFRONT HEALTH PUNTA GORDA,0.1484375
CHARLOTTE,100047,Total Staffed Bed Capacity,BAYFRONT HEALTH PUNTA GORDA,128
CHARLOTTE,100077,Bed Census,BAYFRONT HEALTH PORT CHARLOTTE,150
CHARLOTTE,100077,Available,BAYFRONT HEALTH PORT CHARLOTTE,65
CHARLOTTE,100077,Available Capacity,BAYFRONT HEALTH PORT CHARLOTTE,0.302325581
CHARLOTTE,100077,Total Staffed Bed Capacity,BAYFRONT HEALTH PORT CHARLOTTE,215
CHARLOTTE,100236,Bed Census,FAWCETT MEMORIAL HOSPITAL,150
CHARLOTTE,100236,Available,FAWCETT MEMORIAL HOSPITAL,103
CHARLOTTE,100236,Available Capacity,FAWCETT MEMORIAL HOSPITAL,0.407114625
CHARLOTTE,100236,Total Staffed Bed Capacity,FAWCETT MEMORIAL HOSPITAL,253
CITRUS,100023,Bed Census,CITRUS MEMORIAL HOSPITAL,140
CITRUS,100023,Available,CITRUS MEMORIAL HOSPITAL,74
CITRUS,100023,Available Capacity,CITRUS MEMORIAL HOSPITAL,0.345794393
CITRUS,100023,Total Staffed Bed Capacity,CITRUS MEMORIAL HOSPITAL,214
CITRUS,100249,Bed Census,BAYFRONT HEALTH SEVEN RIVERS,78
CITRUS,100249,Available,BAYFRONT HEALTH SEVEN RIVERS,16
CITRUS,100249,Available Capacity,BAYFRONT HEALTH SEVEN RIVERS,0.170212766
CITRUS,100249,Total Staffed Bed Capacity,BAYFRONT HEALTH SEVEN RIVERS,94
CLAY,100016,Bed Census,KINDRED HOSPITAL-NORTH FLORIDA,63
CLAY,100016,Available,KINDRED HOSPITAL-NORTH FLORIDA,10
CLAY,100016,Available Capacity,KINDRED HOSPITAL-NORTH FLORIDA,0.136986301
CLAY,100016,Total Staffed Bed Capacity,KINDRED HOSPITAL-NORTH FLORIDA,73
CLAY,100226,Bed Census,ORANGE PARK MEDICAL CENTER,306
CLAY,100226,Available,ORANGE PARK MEDICAL CENTER,49
CLAY,100226,Available Capacity,ORANGE PARK MEDICAL CENTER,0.138028169
CLAY,100226,Total Staffed Bed Capacity,ORANGE PARK MEDICAL CENTER,355
CLAY,23960117,Bed Census,ASCENSION ST VINCENT'S CLAY COUNTY,91
CLAY,23960117,Available,ASCENSION ST VINCENT'S CLAY COUNTY,37
CLAY,23960117,Available Capacity,ASCENSION ST VINCENT'S CLAY COUNTY,0.2890625
CLAY,23960117,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S CLAY COUNTY,128
COLLIER,100018,Bed Census,NAPLES COMMUNITY HOSPITAL,250
COLLIER,100018,Available,NAPLES COMMUNITY HOSPITAL,24
COLLIER,100018,Available Capacity,NAPLES COMMUNITY HOSPITAL,0.087591241
COLLIER,100018,Total Staffed Bed Capacity,NAPLES COMMUNITY HOSPITAL,274
COLLIER,110043,Bed Census,"WILLOUGH AT NAPLES, THE",50
COLLIER,110043,Available,"WILLOUGH AT NAPLES, THE",37
COLLIER,110043,Available Capacity,"WILLOUGH AT NAPLES, THE",0.425287356
COLLIER,110043,Total Staffed Bed Capacity,"WILLOUGH AT NAPLES, THE",87
COLLIER,120006,Bed Census,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,207
COLLIER,120006,Available,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,48
COLLIER,120006,Available Capacity,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,0.188235294
COLLIER,120006,Total Staffed Bed Capacity,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,255
COLLIER,23960025,Bed Census,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,109
COLLIER,23960025,Available,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,0
COLLIER,23960025,Available Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,0
COLLIER,23960025,Total Staffed Bed Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,109
COLLIER,23960057,Bed Census,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,100
COLLIER,23960057,Available,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,0
COLLIER,23960057,Available Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,0
COLLIER,23960057,Total Staffed Bed Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,100
COLLIER,23960116,Bed Census,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,32
COLLIER,23960116,Available,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,18
COLLIER,23960116,Available Capacity,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,0.36
COLLIER,23960116,Total Staffed Bed Capacity,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,50
COLUMBIA,100156,Bed Census,LAKE CITY MEDICAL CENTER,115
COLUMBIA,100156,Available,LAKE CITY MEDICAL CENTER,0
COLUMBIA,100156,Available Capacity,LAKE CITY MEDICAL CENTER,0
COLUMBIA,100156,Total Staffed Bed Capacity,LAKE CITY MEDICAL CENTER,115
DESOTO,100175,Bed Census,DESOTO MEMORIAL HOSPITAL,34
DESOTO,100175,Available,DESOTO MEMORIAL HOSPITAL,28
DESOTO,100175,Available Capacity,DESOTO MEMORIAL HOSPITAL,0.451612903
DESOTO,100175,Total Staffed Bed Capacity,DESOTO MEMORIAL HOSPITAL,62
DUVAL,100001,Bed Census,UF HEALTH JACKSONVILLE,421
DUVAL,100001,Available,UF HEALTH JACKSONVILLE,182
DUVAL,100001,Available Capacity,UF HEALTH JACKSONVILLE,0.301824212
DUVAL,100001,Total Staffed Bed Capacity,UF HEALTH JACKSONVILLE,603
DUVAL,100040,Bed Census,ASCENSION ST VINCENT'S RIVERSIDE,321
DUVAL,100040,Available,ASCENSION ST VINCENT'S RIVERSIDE,178
DUVAL,100040,Available Capacity,ASCENSION ST VINCENT'S RIVERSIDE,0.356713427
DUVAL,100040,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S RIVERSIDE,499
DUVAL,100088,Bed Census,BAPTIST MEDICAL CENTER JACKSONVILLE,409
DUVAL,100088,Available,BAPTIST MEDICAL CENTER JACKSONVILLE,75
DUVAL,100088,Available Capacity,BAPTIST MEDICAL CENTER JACKSONVILLE,0.154958678
DUVAL,100088,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER JACKSONVILLE,484
DUVAL,100117,Bed Census,BAPTIST MEDICAL CENTER - BEACHES,97
DUVAL,100117,Available,BAPTIST MEDICAL CENTER - BEACHES,53
DUVAL,100117,Available Capacity,BAPTIST MEDICAL CENTER - BEACHES,0.353333333
DUVAL,100117,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER - BEACHES,150
DUVAL,100151,Bed Census,MAYO CLINIC,257
DUVAL,100151,Available,MAYO CLINIC,47
DUVAL,100151,Available Capacity,MAYO CLINIC,0.154605263
DUVAL,100151,Total Staffed Bed Capacity,MAYO CLINIC,304
DUVAL,100179,Bed Census,MEMORIAL HOSPITAL JACKSONVILLE,344
DUVAL,100179,Available,MEMORIAL HOSPITAL JACKSONVILLE,155
DUVAL,100179,Available Capacity,MEMORIAL HOSPITAL JACKSONVILLE,0.310621242
DUVAL,100179,Total Staffed Bed Capacity,MEMORIAL HOSPITAL JACKSONVILLE,499
DUVAL,100184,Bed Census,BROOKS REHABILITATION HOSPITAL,136
DUVAL,100184,Available,BROOKS REHABILITATION HOSPITAL,10
DUVAL,100184,Available Capacity,BROOKS REHABILITATION HOSPITAL,0.068493151
DUVAL,100184,Total Staffed Bed Capacity,BROOKS REHABILITATION HOSPITAL,146
DUVAL,100196,Bed Census,CURAHEALTH JACKSONVILLE LLC,27
DUVAL,100196,Available,CURAHEALTH JACKSONVILLE LLC,2
DUVAL,100196,Available Capacity,CURAHEALTH JACKSONVILLE LLC,0.068965517
DUVAL,100196,Total Staffed Bed Capacity,CURAHEALTH JACKSONVILLE LLC,29
DUVAL,104016,Bed Census,RIVER POINT BEHAVIORAL HEALTH,59
DUVAL,104016,Available,RIVER POINT BEHAVIORAL HEALTH,25
DUVAL,104016,Available Capacity,RIVER POINT BEHAVIORAL HEALTH,0.297619048
DUVAL,104016,Total Staffed Bed Capacity,RIVER POINT BEHAVIORAL HEALTH,84
DUVAL,23960052,Bed Census,BAPTIST MEDICAL CENTER SOUTH,266
DUVAL,23960052,Available,BAPTIST MEDICAL CENTER SOUTH,84
DUVAL,23960052,Available Capacity,BAPTIST MEDICAL CENTER SOUTH,0.24
DUVAL,23960052,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER SOUTH,350
DUVAL,23960061,Bed Census,WEKIVA SPRINGS,51
DUVAL,23960061,Available,WEKIVA SPRINGS,59
DUVAL,23960061,Available Capacity,WEKIVA SPRINGS,0.536363636
DUVAL,23960061,Total Staffed Bed Capacity,WEKIVA SPRINGS,110
DUVAL,23960088,Bed Census,ASCENSION ST VINCENT'S SOUTHSIDE,114
DUVAL,23960088,Available,ASCENSION ST VINCENT'S SOUTHSIDE,98
DUVAL,23960088,Available Capacity,ASCENSION ST VINCENT'S SOUTHSIDE,0.462264151
DUVAL,23960088,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S SOUTHSIDE,212
DUVAL,23960123,Bed Census,UF HEALTH NORTH,87
DUVAL,23960123,Available,UF HEALTH NORTH,5
DUVAL,23960123,Available Capacity,UF HEALTH NORTH,0.054347826
DUVAL,23960123,Total Staffed Bed Capacity,UF HEALTH NORTH,92
DUVAL,23960157,Bed Census,WOLFSON CHILDREN'S HOSPITAL,149
DUVAL,23960157,Available,WOLFSON CHILDREN'S HOSPITAL,37
DUVAL,23960157,Available Capacity,WOLFSON CHILDREN'S HOSPITAL,0.198924731
DUVAL,23960157,Total Staffed Bed Capacity,WOLFSON CHILDREN'S HOSPITAL,186
ESCAMBIA,100025,Bed Census,ASCENSION SACRED HEART PENSACOLA,379
ESCAMBIA,100025,Available,ASCENSION SACRED HEART PENSACOLA,163
ESCAMBIA,100025,Available Capacity,ASCENSION SACRED HEART PENSACOLA,0.300738007
ESCAMBIA,100025,Total Staffed Bed Capacity,ASCENSION SACRED HEART PENSACOLA,542
ESCAMBIA,100093,Bed Census,BAPTIST HOSPITAL,327
ESCAMBIA,100093,Available,BAPTIST HOSPITAL,106
ESCAMBIA,100093,Available Capacity,BAPTIST HOSPITAL,0.244803695
ESCAMBIA,100093,Total Staffed Bed Capacity,BAPTIST HOSPITAL,433
ESCAMBIA,100231,Bed Census,WEST FLORIDA HOSPITAL,273
